OHS-OR_CA1,OHS-XOR_CA1,OHS-PossOR_CA1,OHS-PossXOR_CA1
0.8210453707,0.8210453707,0.9036906439,0.9037274564000001
0.8002473943,0.8098554082,0.906567746,0.9066496326000001
0.8483125597000001,0.8485692431,0.9082473614000001,0.9083082918000001
0.8505977403,0.8506956147,0.9147455053,0.9146928682000001
0.8191866240000001,0.8191866240000001,0.9099908471,0.9100348017000001
0.7902502899000001,0.7902874438,0.9005344203500001,0.9005344203500001
0.7728266602,0.77287896865,0.88339422025,0.8834508546
0.80777697015,0.8078023259,0.88708304485,0.8871112713
0.8097340259500001,0.8097340259500001,0.9067485082500001,0.9067485082500001
0.89756596665,0.89756596665,0.91460803335,0.91461720645
0.8010856799,0.8010856799,0.8981908146666667,0.8982297304333334
0.8037618746,0.8037618746,0.8897948897,0.8897948897
0.7577456485,0.7577456485,0.8948031894,0.8948031894
0.8429503754000001,0.8429503754000001,0.8943941034,0.8943941034
0.8060272906,0.8060272906,0.8939759508,0.8940508152000001
0.8278544251000001,0.8278544251000001,0.8773948561,0.8773948561
0.8059237213,0.8061005162,0.8806451313,0.8807265433
0.7769545311,0.7769545311,0.9045096198,0.9045096198
0.7931664629,0.7931664629,0.8629761219000001,0.8629761219000001
0.7679125685,0.7679125685,0.8809213910000001,0.8809213910000001
0.8011687163000001,0.8011687163000001,0.8975212528000001,0.8977789268
0.82797023815,0.82797023815,0.8873389377500001,0.8873577443
0.8371361205000001,0.8371361205000001,0.9064207977500001,0.90646123415
0.8973779183,0.8973779183,0.925342505,0.9253579547
0.8860224245,0.8860622424,0.9064760092,0.9064883929
0.8160445383,0.8160445383,0.9227161908,0.9227161908
0.8000968344,0.8008945925000001,0.895551811,0.895551811
0.7506909084000001,0.7507718877,0.9064067917,0.9064067917
0.7753029295,0.7752540461,0.8960293879000001,0.8960293879000001
0.780203657,0.780203657,0.892914124,0.892914124
0.7765467395000001,0.7765467395000001,0.9054080551,0.9055148693
0.7909134778,0.7909134778,0.9264108057,0.9263874702
0.8283959794,0.8285230456,0.9096133531,0.9096497769
0.8157254638,0.8157122010000001,0.8747373585,0.8747373585
