Nspikes,OHS-OR_CA1,Rmax_OHS-OR_CA1,Nspikes,OHS-OR_SUB,Rmax_OHS-OR_SUB,Nspikes,OHS-AND_CA1,Rmax_OHS-AND_CA1,Nspikes,OHS-AND_SUB,Rmax_OHS-AND_SUB,Poss_Nspikes,OHS-PossOR_CA1,Rmax_OHS-PossOR_CA1,Poss_Nspikes,OHS-PossOR_SUB,Rmax_OHS-PossOR_SUB,Poss_Nspikes,OHS-PossAND_CA1,Rmax_OHS-PossAND_CA1,Poss_Nspikes,OHS-PossAND_SUB,Rmax_OHS-PossAND_SUB
27.333333333333332,0.8181876634,0.8238747555,27.333333333333332,0.8920034988333333,0.8890742438,27.333333333333332,nan,0.8238747555,27.333333333333332,0.8626249321000001,0.8890742438,24.0,0.8856824775000001,0.9149505667000001,24.0,0.9196390043,0.9223501747,24.0,nan,0.9149505667000001,24.0,0.7800345359,0.9223501747
77.0,0.7988502537,0.8238747555,77.0,0.9152155604000001,0.9082307561,77.0,nan,0.8238747555,77.0,0.8329076095,0.9082307561,77.0,0.870241592,0.9053935073,77.0,0.9228123741,0.9222000192,77.0,nan,0.9053935073,77.0,0.8248786743000001,0.9222000192
43.0,0.81190124985,0.8238747555,43.0,0.8964776298500001,0.9177548419,43.0,nan,0.8238747555,43.0,0.8157259243500001,0.9177548419,29.0,0.8831819463,0.8729614383000001,29.0,0.9218707234500001,0.9223253969,29.0,nan,0.8729614383000001,29.0,0.8541661124500001,0.9223253969
31.666666666666668,0.81025250185,0.8238747555,31.666666666666668,0.8956306281333334,0.8852178606000001,31.666666666666668,nan,0.8238747555,31.666666666666668,0.8061438709333334,0.8852178606000001,36.0,0.9126962112000001,0.8976606822000001,36.0,0.9161760076666668,0.9234834902,36.0,nan,0.8976606822000001,36.0,0.8029364586333334,0.9234834902
31.5,0.8115657771,0.8238747555,31.5,0.88700372795,0.9056953052000001,31.5,nan,0.8238747555,31.5,0.8640969334499999,0.9056953052000001,28.0,0.86423086055,0.9160007133,28.0,0.9273735151,0.9223253969,28.0,nan,0.9160007133,28.0,0.84388866555,0.9223253969
37.0,0.76968036295,0.8238747555,37.0,0.8998323134333335,0.9170771161,37.0,1.0,0.8238747555,37.0,0.8365939684666667,0.9170771161,41.0,0.88764762505,0.8860569335,41.0,0.9181943835333334,0.9338980512,41.0,nan,0.8860569335,41.0,0.7997319239666667,0.9338980512
98.0,0.73859001755,0.8238747555,98.0,0.9092608633666668,0.8568283166,98.0,nan,0.8238747555,98.0,0.8572892196,0.8568283166,92.66666666666667,0.864514412,0.9080171249000001,92.66666666666667,0.9201579449666667,0.9315612193,92.66666666666667,nan,0.9080171249000001,92.66666666666667,0.8616000282000001,0.9315612193
88.0,0.7969767899,0.7981153943,88.0,0.8895054556,0.8551915426000001,88.0,nan,0.7981153943,88.0,0.8045284244666666,0.8551915426000001,76.66666666666667,0.9072246536,0.9149505667000001,76.66666666666667,0.9239862763666666,0.9303440244000001,76.66666666666667,nan,0.9149505667000001,76.66666666666667,0.8736024471,0.9303440244000001
7.333333333333333,0.7328865145,0.7981153943,7.333333333333333,0.8521168815666668,0.8551915426000001,7.333333333333333,nan,0.7981153943,7.333333333333333,0.7068057975666667,0.8551915426000001,2.3333333333333335,0.8872526893,0.9149505667000001,2.3333333333333335,0.9144368768000001,0.9223253969,2.3333333333333335,nan,0.9149505667000001,2.3333333333333335,0.5793801643000001,0.9223253969
27.666666666666668,0.7828553598666668,0.7981153943,27.666666666666668,0.8675670866999999,0.8665543937,27.666666666666668,nan,0.7981153943,27.666666666666668,0.7859571032333333,0.8665543937,29.0,0.9088709235,0.9149505667000001,29.0,0.9143479461,0.9223253969,29.0,0.5793801643000001,0.9149505667000001,29.0,0.8443870094,0.9223253969
44.666666666666664,0.7601621438333334,0.7857199436000001,44.666666666666664,0.8900654393333335,0.8851753113,44.666666666666664,nan,0.7857199436000001,44.666666666666664,0.8245955901333334,0.8851753113,44.0,0.8853929064666667,0.9099538883,44.0,0.9234095743666667,0.9223253969,44.0,nan,0.9099538883,44.0,0.8147694646333333,0.9223253969
44.666666666666664,0.7644754276500001,0.7754760363000001,44.666666666666664,0.8900654393333335,0.8851753113,44.666666666666664,nan,0.7754760363000001,44.666666666666664,0.8245955901333334,0.8851753113,47.0,0.8875033241500001,0.9099538883,47.0,0.9258882532333335,0.9223253969,47.0,nan,0.9099538883,47.0,0.8469858016999999,0.9223253969
50.333333333333336,0.88828413045,0.9070559181000001,50.333333333333336,0.8811450993,0.9144751142,50.333333333333336,nan,0.9070559181000001,50.333333333333336,0.7919671323333334,0.9144751142,47.666666666666664,0.9161896617,0.9302642288,47.666666666666664,0.9233209725666667,0.9223253969,47.666666666666664,0.82511012555,0.9302642288,47.666666666666664,0.7928249691666668,0.9223253969
